Index,Confirmed,Recovered,Deaths
0,0,0,0
1,1,0,0
2,3,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,7,0,0
7,7,0,0
8,10,0,0
9,13,0,0
10,16,0,0
11,18,0,0
12,18,0,0
13,24,0,0
14,28,0,0
15,28,0,0
16,30,0,0
17,33,2,0
18,40,2,0
19,45,2,0
20,47,9,0
21,50,15,0
22,58,15,0
23,67,17,0
24,72,18,0
25,75,18,0
26,77,24,0
27,81,29,0
28,84,34,0
29,84,34,0
30,85,37,0
31,85,37,0
32,89,51,0
33,89,51,0
34,91,53,0
35,93,62,0
36,93,62,0
37,93,62,0
38,102,72,0
39,106,72,0
40,108,78,0
41,110,78,0
42,110,78,0
43,117,78,0
44,130,78,0
45,138,78,0
46,150,78,0
47,150,78,0
48,160,78,0
49,178,96,0
50,178,96,0
51,200,97,0
52,212,105,0
53,226,105,0
54,243,109,0
55,266,114,0
56,313,114,0
57,345,114,0
58,385,124,0
59,432,140,2
60,455,144,2
61,509,144,2
62,558,156,2
63,631,160,2
64,683,172,2
65,732,183,2
66,802,198,2
67,844,212,3
68,879,228,3
69,926,240,3
70,1000,245,3
71,1049,266,4
72,1114,282,5
73,1189,297,6
74,1309,320,6
75,1375,344,6
76,1481,377,6
77,1623,406,6
78,1910,460,6
79,2108,492,7
80,2299,528,8
81,2532,560,8
82,2918,586,9
83,3252,611,10
84,3699,652,10
85,4427,683,10
86,5050,708,11
87,5992,740,11
88,6588,768,11
89,8014,801,11
90,9125,839,11
91,10141,896,12
92,11178,924,12
93,12075,956,12
94,12693,1002,12
95,13624,1060,12
96,14423,1095,14
97,14951,1128,14
98,15641,1188,14
99,16169,1244,15
100,17101,1268,16
101,17548,1347,17
102,18205,1408,18
103,18778,1457,18
104,19410,1519,18
105,20198,1634,20
106,20939,1712,20
107,21707,2040,20
108,22460,2296,20
109,23336,2721,20
110,23822,3225,21
111,24671,3851,21
112,25346,4809,21
113,26098,5973,21
114,26891,7248,21
115,27356,8342,22
116,28038,9340,22
117,28343,9835,22
118,28794,10365,22
119,29364,11207,22
120,29812,12117,23
121,30426,12995,23
122,31068,13882,23
123,31616,14876,23
124,31960,15738,23
125,32343,16444,23
126,32876,17276,23
127,33249,18294,23
128,33860,19631,23
129,34366,20727,23
130,34884,21699,23
131,35292,22466,24
132,35836,23175,24
133,36405,23582,24
134,36922,23904,24
135,37183,24209,24
136,37527,24559,25
137,37910,24886,25
138,38296,25368,25
139,38514,25877,25
140,38965,26532,25
141,39387,27286,25
142,39850,28040,25
143,40197,28808,26
144,40604,29589,26
145,40818,30366,26
146,40969,31163,26
147,41216,31938,26
148,41473,32712,26
149,41615,33459,26
150,41833,34224,26
151,42095,34942,26
152,42313,35590,26
153,42432,35995,26
154,42623,36299,26
155,42736,36604,26
156,42955,36825,26
157,43246,37163,26
158,43459,37508,26
159,43661,37985,26
160,43907,38500,26
161,44122,39011,26
162,44310,39429,26
163,44479,39769,26
164,44664,40117,26
165,44800,40441,26
166,44983,40717,26
167,45140,41002,26
168,45298,41323,26
169,45423,41645,26
170,45614,41780,26
171,45783,42026,26
172,45961,42285,26
173,46283,42541,26
174,46630,42737,27
175,46878,42988,27
176,47126,43256,27
177,47453,43577,27
178,47655,43833,27
179,47912,44086,27
180,48035,44371,27
181,48434,44584,27
182,48744,44795,27
183,49098,45015,27
184,49375,45172,27
185,49888,45352,27
186,50369,45521,27
187,50838,45692,27
188,51197,45893,27
189,51531,46098,27
190,51809,46308,27
191,52205,46491,27
192,52512,46740,27
193,52825,46926,27
194,53051,47179,27
195,53346,47454,27
196,54254,47768,27
197,54555,48031,27
198,54797,48312,27
199,54929,48583,27
200,55104,48915,27
201,55292,49609,27
202,55353,50128,27
203,55395,50520,27
204,55497,50736,27
205,55580,51049,27
206,55661,51521,27
207,55747,51953,27
208,55838,52350,27
209,55938,52533,27
210,56031,52810,27
211,56099,53119,27
212,56216,53651,27
213,56266,53920,27
214,56353,54164,27
215,56404,54587,27
216,56435,54816,27
217,56495,54971,27
218,56572,55139,27
219,56666,55337,27
220,56717,55447,27
221,56771,55586,27
222,56812,55658,27
223,56852,55749,27
224,56860,55891,27
225,56908,56028,27
226,56948,56174,27
227,56982,56267,27
228,57022,56333,27
229,57044,56408,27
230,57091,56461,27
231,57166,56492,27
232,57229,56558,27
233,57315,56607,27
234,57357,56699,27
235,57406,56764,27
236,57454,56802,27
237,57488,56884,27
238,57514,56955,27
239,57532,57039,27
240,57543,57071,27
241,57558,57142,27
242,57576,57181,27
243,57606,57241,27
244,57627,57262,27
245,57639,57291,27
246,57654,57333,27
247,57665,57341,27
248,57685,57359,27
249,57700,57367,27
250,57715,57393,27
251,57742,57466,27
252,57765,57488,27
253,57784,57512,27
254,57794,57534,27
255,57800,57562,27
256,57812,57575,27
257,57819,57597,27
258,57830,57612,27
259,57840,57624,27
260,57849,57668,27
261,57859,57675,27
262,57866,57698,27
263,57876,57705,27
264,57880,57728,28
265,57884,57740,28
266,57889,57752,28
267,57892,57764,28
268,57901,57784,28
269,57904,57798,28
270,57911,57807,28
271,57915,57819,28
272,57921,57819,28
273,57933,57821,28
274,57941,57829,28
275,57951,57832,28
276,57965,57844,28
277,57970,57858,28
278,57973,57879,28
279,57980,57883,28
280,57987,57890,28
281,57994,57899,28
282,58003,57909,28
283,58015,57913,28
284,58019,57924,28
285,58020,57924,28
286,58029,57937,28
287,58036,57938,28
288,58043,57949,28
289,58047,57959,28
290,58054,57968,28
291,58056,57975,28
292,58064,57981,28
293,58073,57985,28
294,58091,57990,28
295,58102,58002,28
296,58114,58008,28
297,58116,58019,28
298,58119,58029,28
299,58124,58033,28
300,58130,58039,28
301,58135,58046,28
302,58139,58052,28
303,58143,58058,28
304,58148,58064,28
305,58160,58067,28
306,58165,58071,28
307,58183,58079,28
308,58190,58091,28
309,58195,58104,28
310,58199,58111,28
311,58205,58119,29
312,58213,58124,29
313,58218,58134,29
314,58228,58139,29
315,58230,58144,29
316,58239,58145,29
317,58242,58152,29
318,58255,58158,29
319,58260,58160,29
320,58273,58168,29
321,58285,58176,29
322,58291,58182,29
323,58297,58188,29
324,58305,58192,29
325,58313,58197,29
326,58320,58208,29
327,58325,58210,29
328,58341,58233,29
329,58353,58238,29
330,58377,58252,29
331,58386,58265,29
332,58403,58274,29
333,58422,58279,29
334,58432,58287,29
335,58461,58304,29
336,58482,58322,29
337,58495,58332,29
338,58509,58352,29
339,58519,58362,29
340,58524,58370,29
341,58529,58386,29
342,58542,58400,29
343,58569,58411,29
344,58599,58449,29
345,58629,58449,29
346,58662,58476,29
347,58697,58487,29
348,58721,58497,29
349,58749,58517,29
350,58780,58541,29
351,58813,58562,29
352,58836,58580,29
353,58865,58611,29
354,58907,58636,29
355,58929,58668,29
356,58946,58694,29
357,58984,58722,29
358,59029,58757,29
359,59059,58771,29
360,59083,58784,29
361,59113,58846,29
362,59127,58868,29
363,59157,58894,29
364,59197,58926,29
365,59235,58959,29
366,59250,58983,29
367,59260,59015,29
368,59308,59041,29
369,59352,59066,29
370,59366,59086,29
371,59391,59104,29
372,59425,59148,29
373,59449,59181,29
374,59507,59196,29
375,59536,59228,29
376,59565,59271,29
377,59584,59301,29
378,59602,59320,29
379,59624,59348,29
380,59649,59373,29
381,59675,59405,29
382,59699,59433,29
383,59721,59484,29
384,59732,59506,29
385,59747,59526,29
386,59759,59558,29
387,59777,59569,29
388,59786,59604,29
389,59800,59621,29
390,59809,59641,29
391,59810,59661,29
392,59821,59676,29
393,59832,59679,29
394,59846,59697,29
395,59858,59719,29
396,59869,59731,29
397,59879,59746,29
398,59883,59753,29
399,59890,59761,29
400,59900,59785,29
401,59913,59803,29
402,59925,59816,29
403,59936,59823,29
404,59948,59830,29
405,59956,59842,29
406,59979,59849,29
407,59998,59857,29
408,60007,59870,29
409,60020,59879,29
410,60033,59894,29
411,60046,59900,29
412,60052,59905,29
413,60062,59911,29
414,60070,59939,29
415,60080,59950,29
416,60088,59961,30
417,60105,59968,30
418,60117,59974,30
419,60128,59984,30
420,60137,60001,30
421,60152,60014,30
422,60167,60019,30
423,60184,60022,30
424,60196,60038,30
425,60208,60051,30
426,60221,60063,30
427,60236,60078,30
428,60253,60086,30
429,60265,60103,30
430,60288,60113,30
431,60300,60122,30
432,60321,60131,30
433,60347,60138,30
434,60381,60149,30
435,60407,60161,30
436,60450,60176,30
437,60468,60185,30
438,60478,60202,30
439,60495,60214,30
440,60519,60239,30
441,60554,60260,30
442,60575,60284,30
443,60601,60304,30
444,60633,60322,30
445,60653,60335,30
446,60678,60357,30
447,60692,60374,30
448,60719,60392,30
449,60735,60417,30
450,60769,60446,30
451,60808,60463,30
452,60831,60485,30
453,60851,60503,30
454,60865,60540,30
455,60880,60576,30
456,60904,60603,30
457,60943,60613,30
458,60966,60629,30
459,61006,60662,30
460,61051,60682,30
461,61063,60704,30
462,61086,60718,30
463,61121,60718,30
464,61145,60751,30
465,61179,60765,31
466,61218,60786,31
467,61235,60806,31
468,61252,60823,31
469,61268,60844,31
470,61286,60873,31
471,61311,60906,31
472,61331,60912,31
473,61359,60933,31
474,61378,60953,31
475,61403,60975,31
